"ID","Negative","Neutral","Positive"
3,0,0,1
4,1,3,9
5,3,0,12
6,2,3,11
7,4,2,16
8,6,8,40
9,7,7,39
10,9,9,41
11,5,3,18
12,1,1,2
13,3,1,3
14,3,1,7
15,1,2,5
16,1,1,3
17,1,0,0
18,0,1,0
19,0,0,2
20,0,1,1
21,0,3,1
